INDEX;CONC;PREC;TMAX;TMIN;VMIN;DIR;VMAX
06/02/11;20.18;0.0;11.4;-2.7;0.7;6;2.2
07/02/11;11.53;0.0;7.3;-2;0.7;6;1.7
08/02/11;5.13;0.2;7.3;0.9;0.9;1;1.6
09/02/11;0.64;0.0;11.6;1.4;1.0;3;2.3
10/02/11;0;0.2;11.2;0.9;0.8;6;1.7
21/02/11;0;9.4;10.4;3.4;2.7;0;7.6
22/02/11;0;0.0;12.6;-0.9;3.0;4;7.5
23/02/11;0;0.0;8.5;-1.6;4.0;1;8.1
24/02/11;0;0.0;10;-2.3;2.5;0;6.0
25/02/11;0;0.0;11.9;-1.6;2.5;1;4.8
26/02/11;0.32;0.0;10.6;0;3.4;1;6.9
27/02/11;0;0.4;4.4;0.4;2.2;3;5.6
28/02/11;0;9.2;12.3;4.7;5.7;1;8.2
03/03/11;0;0.2;7;1.5;7.0;0;11.0
04/03/11;4.81;0.8;12;0.7;4.7;1;8.2
06/03/11;43.89;3.8;17.7;4;1.3;5;3.9
07/03/11;11.53;0.0;9.2;1.4;4.4;3;7.3
08/03/11;6.73;0.0;10.1;-0.8;3.4;1;6.1
09/03/11;1.92;0.0;12.1;-4.5;1.0;3;2.5
10/03/11;0.32;0.0;13.3;-3.4;0.9;3;2.9
13/03/11;0.32;0.2;10.2;6.7;1.5;6;4.1
14/03/11;0;18.6;19.4;9;1.1;6;2.8
15/03/11;0.32;13.8;18.8;10;1.6;1;4.3
16/03/11;0;18.8;15.6;8.8;1.4;0;3.8
17/03/11;0;10.6;13.6;8.8;1.8;7;5.2
18/03/11;0.96;1.2;19.1;6.8;0.9;1;2.2
19/03/11;0;0.0;17.6;5.1;1.2;3;3.6
20/03/11;0.32;0.2;13.3;6.2;4.4;1;8.7
21/03/11;0.64;0.0;11.6;5;3.9;0;6.8
22/03/11;0.32;0.0;17.1;6.2;4.6;1;6.6
23/03/11;0.64;0.0;20;3.2;3.2;1;5.9
24/03/11;1.92;0.0;23.8;2.6;1.2;6;3.1
25/03/11;1.28;0.0;20.2;2.5;1.2;3;3.9
26/03/11;1.28;0.0;18.7;6.4;1.4;6;3.3
27/03/11;1.28;0.0;16.5;5.5;0.9;3;2.9
28/03/11;0;14.8;14.9;10;1.0;0;2.7
29/03/11;0.32;19.6;20.1;7.1;1.7;1;4.2
30/03/11;5.77;0.0;20.6;5;1.2;6;2.7
31/03/11;2.56;0.0;22.1;7.4;1.2;3;2.3
03/04/11;0;0.0;22;8.3;1.2;1;2.7
04/04/11;1.28;0.0;21.5;7;1.2;1;3.7
06/04/11;29.15;0.0;25.1;5.8;1.2;5;2.3
07/04/11;7.05;0.0;26.7;7.4;1.2;3;3.7
08/04/11;4.16;0.0;24;6.9;1.1;3;2.2
09/04/11;0.32;0.0;25.8;7.6;1.1;3;2.9
10/04/11;1.28;0.0;27.8;10.8;1.7;1;5.8
13/04/11;19.22;1.0;18.4;7.3;3.4;1;8.5
14/04/11;10.89;0.0;16.5;5.1;1.2;1;5.0
15/04/11;3.84;2.2;15.5;7.2;3.4;3;6.2
16/04/11;11.53;0.0;18.4;4.7;2.9;1;6.7
17/04/11;32.67;0.0;19.2;4.7;3.1;1;7.2
18/04/11;55.74;0.0;20.9;4;2.5;3;5.3
19/04/11;41.96;0.0;22.1;3.5;2.7;3;6.2
20/04/11;51.25;0.0;24.7;3.9;1.3;3;2.8
21/04/11;46.45;0.0;24.3;5.6;0.9;5;2.6
22/04/11;51.89;0.0;25.5;5.4;1.2;6;3.4
23/04/11;76.24;0.6;20.2;11.8;1.0;1;2.4
24/04/11;6.09;1.2;20.9;10.1;0.8;1;1.8
25/04/11;76.88;0.0;24;8;3.3;3;6.7
26/04/11;100.91;0.0;21;14;4.2;1;7.0
27/04/11;88.41;0.0;22.6;10.9;3.3;0;6.2
28/04/11;155.36;0.0;19.8;10;2.5;1;4.7
29/04/11;52.54;0.0;23.4;8.6;1.6;1;4.4
30/04/11;68.87;3.2;20.5;10.8;3.9;0;7.7
03/05/11;0.64;20.2;24.7;11.5;1.9;1;4.7
04/05/11;1.92;0.0;21.5;9.8;3.4;3;8.2
07/05/11;10.25;0.0;26.2;6.3;1.2;3;2.6
09/05/11;0.96;0.0;21.6;10.6;3.9;1;7.4
10/05/11;0.32;0.0;25.2;10.8;3.3;1;6.5
12/05/11;0;0.0;28;9.3;1.6;3;3.6
13/05/11;55.10;0.0;28.4;12.8;1.4;3;3.0
14/05/11;99.30;0.0;28.2;9.8;1.3;3;3.6
15/05/11;42.93;0.8;17.5;9.8;2.6;5;9.2
16/05/11;24.35;9.6;23.8;8.8;2.3;5;5.4
17/05/11;52.86;0.0;25.6;6.5;1.4;7;3.5
18/05/11;63.11;0.0;25.9;7.5;3.2;1;7.3
19/05/11;81.05;0.0;29.9;9.3;1.4;5;2.7
20/05/11;73.36;1.2;29.9;13.1;1.3;1;6.7
21/05/11;73.04;0.0;31.2;10.9;1.8;6;4.7
22/05/11;76.88;0.0;32;11.3;1.7;6;4.3
23/05/11;73.04;0.0;30.8;12.3;2.7;6;6.3
24/05/11;94.18;0.0;32;15;2.5;1;6.0
25/05/11;81.37;0.0;31.7;13.4;2.6;4;5.8
26/05/11;94.18;0.0;34.3;14;1.4;3;2.9
27/05/11;85.85;0.0;30.3;14;2.1;6;5.2
28/05/11;71.11;0.0;28.8;15.4;2.3;7;5.4
29/05/11;48.05;0.0;27.8;11.2;2.9;6;5.3
30/05/11;56.06;0.0;31.5;10.5;1.9;1;4.4
31/05/11;104.75;0.0;30.2;12.1;1.6;3;3.8
03/06/11;0;0.0;30;18.9;4.2;1;7.9
04/06/11;0;0.0;32;15.1;1.7;1;5.2
07/06/11;6.41;14.4;24.5;17.6;1.3;1;3.0
09/06/11;2.56;47.2;24.1;15.2;1.9;6;4.4
10/06/11;0.64;0.0;26.1;14.9;1.7;5;4.2
11/06/11;0.32;0.0;27;15.4;1.6;7;3.9
12/06/11;0;0.0;28.1;14.8;1.3;4;3.7
14/06/11;24.99;0.0;28.5;13.9;1.7;1;5.5
15/06/11;20.50;0.0;30.4;13.8;2.3;0;5.5
16/06/11;20.18;0.0;31.5;13.7;1.5;1;3.2
17/06/11;24.99;0.0;29.7;15.5;1.4;3;3.8
18/06/11;19.86;0.0;30.8;17.5;2.9;7;6.6
19/06/11;11.53;0.0;26.6;15.2;2.2;5;3.9
20/06/11;10.89;0.0;30.4;12.7;1.4;1;3.0
21/06/11;16.02;0.0;31.3;13.4;1.3;3;2.7
22/06/11;20.50;0.0;33.3;13.7;1.3;6;2.7
23/06/11;20.82;0.0;31.9;15.6;1.5;6;3.2
24/06/11;17.94;0.0;30.2;17.3;1.5;7;3.6
25/06/11;26.27;0.0;28.8;16.1;3.2;6;6.3
26/06/11;11.85;0.0;33.1;14.2;1.3;3;2.5
27/06/11;34.60;0.0;33.7;15.8;1.3;3;2.8
28/06/11;26.59;0.0;34.5;18.2;1.4;3;3.1
29/06/11;32.67;0.0;34.9;18.9;1.4;3;2.7
30/06/11;30.75;0.0;32;19.5;1.5;6;3.8
03/07/11;0;0.0;30;11.2;1.6;1;3.3
04/07/11;6.41;0.0;30.5;15.9;1.3;6;2.7
06/07/11;4.81;0.0;32;18.4;1.3;3;3.0
07/07/11;14.42;0.0;33.5;16.1;1.2;3;3.2
09/07/11;1.28;0.0;35.1;16.4;1.4;1;3.4
10/07/11;1.60;0.0;35.7;19.3;1.3;7;2.6
11/07/11;0.32;0.0;36.5;18.9;1.3;1;3.3
12/07/11;0;0.0;38.3;19.3;1.2;3;2.7
13/07/11;6.09;0.0;37.2;20.5;1.8;3;5.3
14/07/11;6.73;0.0;32.9;20.9;2.0;7;3.9
15/07/11;3.20;0.0;30.2;17.4;2.0;4;3.5
16/07/11;4.16;0.0;30;15.5;1.8;5;3.8
17/07/11;4.16;0.0;32.5;17.4;1.9;5;3.9
18/07/11;4.81;7.0;27.7;15.8;2.6;5;4.1
19/07/11;1.92;0.0;27.3;13.7;1.4;5;2.6
20/07/11;4.16;5.8;25.6;15.1;2.4;7;6.0
21/07/11;3.84;0.0;26.8;14.9;1.9;3;4.4
22/07/11;4.16;0.0;29;15;1.8;6;4.3
23/07/11;3.20;0.0;28.1;13.8;1.9;6;4.4
24/07/11;0.64;1.0;23.5;14.5;1.8;5;4.8
25/07/11;3.52;3.0;26.7;11.6;1.7;4;4.3
26/07/11;2.88;0.0;29.9;12.6;1.6;3;4.5
27/07/11;0.96;0.0;23.6;13.2;1.0;6;2.6
28/07/11;3.20;5.4;28.1;16.4;1.5;6;2.9
29/07/11;4.48;0.6;28.7;14.6;1.0;3;2.8
30/07/11;4.48;0.0;29.7;15.7;1.7;5;3.8
31/07/11;3.52;0.0;31.9;15.5;1.3;6;3.5
03/08/11;0;0.0;32.4;15.1;1.2;1;2.8
04/08/11;5.13;0.0;32.4;16;1.3;1;2.7
07/08/11;6.09;0.0;33.6;19.4;1.5;0;3.3
08/08/11;4.16;0.0;30.7;19.9;1.8;5;4.2
09/08/11;2.24;0.2;32.1;15.2;2.3;5;6.5
10/08/11;0.32;0.0;30.6;16;2.9;0;5.4
12/08/11;0;0.0;30.6;13.4;1.7;3;4.5
15/08/11;1.92;0.0;31.6;17.3;1.4;3;3.7
16/08/11;3.84;0.0;35.9;17.3;1.4;1;3.4
17/08/11;2.88;0.0;37.7;17.6;1.2;1;2.7
18/08/11;4.16;0.0;38;18.1;1.2;3;3.3
23/08/11;4.81;0.0;39.5;19.2;1.2;6;2.4
24/08/11;6.09;0.0;38.7;16.6;1.2;6;2.7
25/08/11;5.13;0.0;38.8;16.2;1.1;6;2.8
26/08/11;1.60;0.0;39.1;15.7;1.2;1;4.4
27/08/11;4.48;0.0;30.7;16.4;2.3;3;5.6
28/08/11;3.52;0.0;34.4;12.8;1.2;3;3.9
