gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
12/10/11;0.8;SE;1.6
13/10/11;2.6;E;6.3
14/10/11;4.2;NE;8.2
15/10/11;4.1;NE;8.1
16/10/11;4.1;N;7.9
17/10/11;1.5;NE;4.1
18/10/11;0.9;NE;1.9
19/10/11;1.6;SE;4.6
20/10/11;2.9;E;8.1
21/10/11;5.1;NE;7.7
22/10/11;4.6;N;6.8
23/10/11;3.4;NE;6.5
24/10/11;3.7;N;6.2
25/10/11;1.3;NE;2.6
26/10/11;1.0;E;2.4
27/10/11;0.6;E;1.5
28/10/11;0.9;NE;2.5
29/10/11;0.8;SO;3.5
30/10/11;2.5;S;5.3
31/10/11;1.9;N;3.8
01/11/11;0.7;S;2.4
02/11/11;0.8;S;2.8
03/11/11;0.8;SE;1.8
04/11/11;1.3;E;2.7
05/11/11;1.8;E;3.7
06/11/11;1.5;SE;3.2
07/11/11;1.0;NE;2.5
08/11/11;1.5;E;2.7
09/11/11;1.8;NE;6.5
10/11/11;1.7;N;4.3
11/11/11;2.7;S;6.0
12/11/11;4.2;N;6.7
13/11/11;4.3;N;7.3
14/11/11;2.0;S;5.4
15/11/11;0.7;SO;1.9
16/11/11;0.9;S;4.7
17/11/11;0.5;SE;1.7
18/11/11;0.4;S;1.6
19/11/11;0.4;SE;1.1
20/11/11;0.7;S;1.6
21/11/11;1.0;NE;4.1
22/11/11;5.6;NE;8.4
23/11/11;5.0;N;8.4
24/11/11;4.7;N;8.3
25/11/11;2.9;N;6.2
26/11/11;0.7;E;1.9
27/11/11;0.6;SE;1.5
28/11/11;0.9;E;3.4
29/11/11;0.5;SE;1.1
30/11/11;0.5;SE;1.6
01/12/11;0.5;SE;1.2
02/12/11;0.9;NO;2.2
03/12/11;1.3;NE;3.8
04/12/11;1.1;SE;3.0
05/12/11;2.4;S;4.7
06/12/11;0.8;E;1.7
07/12/11;1.1;SE;2.7
08/12/11;0.9;S;2.6
09/12/11;0.7;E;1.9
10/12/11;0.8;E;1.5
11/12/11;0.6;SE;1.2
12/12/11;1.2;NE;2.6
13/12/11;0.8;NE;1.9
14/12/11;1.2;NE;3.5
15/12/11;2.4;NE;5.0
16/12/11;3.7;S;7.1
17/12/11;1.2;SO;5.7
18/12/11;1.9;N;7.3
19/12/11;2.2;NE;5.5
20/12/11;0.5;SE;1.3
21/12/11;0.6;SE;1.7
22/12/11;0.7;SE;2.9
23/12/11;0.6;SE;1.7
24/12/11;2.2;O;9.3
25/12/11;3.3;NE;7.0
26/12/11;3.9;NE;6.2
